ID,Regionsname,Population résidante permanente à partir de 15 ans*,Catholique romain,Evangélique réformé,Autre appartenance religieuse,Sans confession
1,Zurich,1'219'618,330'740,361'295,187'530,328'713
2,Berne,854'618,135'249,445'157,106'507,158'270
3,Lucerne,331'437,206'702,35'296,32'844,54'229
4,Uri,29'895,23'582,(),(),2'917
5,Schwyz,129'023,79'540,15'388,11'072,22'012
6,Obwald,30'927,22'510,(),(),3'886
7,Nidwald,36'077,23'974,4'098,(),5'630
8,Glaris,33'591,11'928,11'095,4'403,5'957
9,Zoug,101'627,51'365,14'912,12'286,22'104
10,Fribourg,250'113,154'231,30'034,20'296,41'158
11,Soleure,225'152,80'280,47'936,30'237,64'566
12,Bâle-Ville,161'831,28'183,27'296,28'359,74'825
13,Bâle-Campagne,239'045,66'432,72'465,28'688,68'312
14,Schaffhouse,67'434,15'245,24'440,11'391,15'552
15,Appenzell Rh.-Ext.,45'626,13'053,18'309,5'523,8'423
16,Appenzell Rh.-Int.,13'179,9'520,(),(),()
17,Saint-Gall,414'554,188'894,88'389,61'932,71'183
18,Grisons,167'918,75'695,54'894,11'179,24'324
19,Argovie,546'906,182'717,137'373,78'866,143'428
20,Thurgovie,223'317,72'939,75'746,30'169,42'803
21,Tessin,298'822,202'463,12'397,24'688,53'057
22,Vaud,630'312,191'850,152'724,81'886,190'691
23,Valais,279'810,203'768,16'588,18'989,35'745
24,Neuchâtel,147'082,34'373,31'034,15'971,62'261
25,Genève,369'577,127'591,34'689,52'017,143'699
26,Jura,60'327,40'617,5'303,4'783,8'732
