code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,,"En un siècle, la part de protestants dans la population a diminué de moitié",,,,,,,,
descr,,Population résidante permanente en Suisse âgée de 15 ans ou plus selon l'appartenance religieuse,,,,,,,,
pro,,Evangélique réformé (protestant),,,,,,,,
cat,,Catholique romain,,,,,,,,
acc,,Autres communautés chrétiennes,,,,,,,,
jui,,Communautés juives,,,,,,,,
isl,,Communautés islamiques,,,,,,,,
aut,,Autres églises et communautés,,,,,,,,
ath,,Sans confession,,,,,,,,
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
source.name,,Office fédéral de la statistique,,,,,,,,
code,Code,code,Code,Codice,código,الرمز,Код,código,コード,代码
