Année,Nationalité,Population résidante ,Evangélique réformé (protestant),Catholique romain,Autres communautés chrétiennes,Communautés juives,Communautés islamiques,Autres églises et communautés,Sans confession,Sans indication
1910,Total ,3753293,56.2 ,42.5 ,…  ,0.5,…  ,0.9,…  ,…  
1920,Total ,3880320,57.5 ,40.9 ,…  ,0.5,…  ,1.1,…  ,…  
1930,Total ,4066400,57.3 ,41.0 ,…  ,0.4,…  ,1.2,…  ,…  
1941,Total ,4265703,57.6 ,40.4 ,…  ,0.5,…  ,1.5,…  ,…  
1950,Total ,4714992,56.3 ,41.5 ,…  ,0.4,…  ,1.7,…  ,…  
1960,Total ,5429061,52.7 ,45.4 ,0.7 ,0.4,0.0,0.1,0.5,0.2
1970,Total ,4575416,48.8 ,46.7 ,2.0 ,0.4,0.2,0.1,1.2,0.4
1980,Total ,4950821,45.3 ,46.2 ,2.2 ,0.3,0.7,0.2,3.9,1.2
1990,Total ,5495018,39.6 ,46.2 ,3.4 ,0.2,1.6,0.3,7.5,1.1
2000,Total ,5868572,33.9 ,42.3 ,4.3 ,0.2,3.6,0.7,11.4,3.6
2015,Total ,6907818,24.9 ,37.3 ,5.8 ,0.2,5.1,1.4,23.9,1.3
1910,Suisses ,3201282,61.4 ,37.8 ,…  ,0.2,…  ,0.6,…  ,…  
1920,Suisses ,3477935,60.8 ,38.0 ,…  ,0.3,…  ,0.9,…  ,…  
1930,Suisses ,3710878,60.0 ,37.8 ,…  ,0.3,…  ,2.0,…  ,…  
1941,Suisses ,4042149,59.3 ,39.0 ,…  ,0.3,…  ,1.4,…  ,…  
1950,Suisses ,4429546,58.5 ,39.7 ,…  ,0.2,…  ,1.6,…  ,…  
1960,Suisses ,4844322,57.1 ,41.3 ,0.6 ,0.2,0.0,0.1,0.5,0.2
1970,Suisses ,3894711,55.4 ,40.9 ,1.8 ,0.3,0.0,0.1,1.1,0.3
1980,Suisses ,4286322,50.8 ,42.5 ,1.7 ,0.2,0.0,0.1,3.5,1.1
1990,Suisses ,4593306,46.1 ,43.1 ,2.6 ,0.2,0.1,0.1,6.8,1.0
2000,Suisses ,4750315,40.6 ,41.1 ,3.3 ,0.2,0.6,0.3,11.0,3.0
2015,Suisses ,5257878,31.2 ,36.9 ,5.0 ,0.2,2.3,0.9,22.2,1.3
1910,Etrangers ,552011,25.8 ,69.5 ,…  ,2.2,…  ,2.5,…  ,…  
1920,Etrangers ,402385,28.4 ,65.6 ,…  ,2.9,…  ,3.1,…  ,…  
1930,Etrangers ,355522,29.1 ,64.0 ,…  ,2.3,…  ,4.6,…  ,…  
1941,Etrangers ,223554,27.2 ,65.4 ,…  ,4.1,…  ,3.3,…  ,…  
1950,Etrangers ,285446,22.4 ,70.9 ,…  ,2.9,…  ,3.8,…  ,…  
1960,Etrangers ,584739,16.1 ,79.4 ,0.9 ,1.4,0.4,0.3,0.9,0.5
1970,Etrangers ,680705,11.1 ,79.9 ,3.2 ,0.9,1.6,0.3,2.1,0.9
1980,Etrangers ,664499,9.8 ,69.8 ,5.4 ,0.7,4.9,0.9,6.6,1.9
1990,Etrangers ,901712,6.9 ,62.1 ,7.0 ,0.4,9.1,1.3,11.2,2.0
2000,Etrangers ,1118257,5.2 ,47.6 ,9.0 ,0.3,16.5,2.3,13.1,6.1
2015,Etrangers ,1649940,4.9 ,38.5 ,8.5 ,0.3,13.8,2.9,29.5,1.6
,,,,,,,,,,
"1) De 1900 à 1960, la catégorie ""Evangélique réformé (protestant)"" comprend également les membres de communautés chrétiennes particulières. Dès 1970, elle ne comprend que l'Eglise réformée reconnue de droit public.",,,,,,,,,,
,,,,,,,,,,
2) 1910-1920 : y compris l'église catholique-chrétienne.,,,,,,,,,,
"3) Dès 1960, la catégorie ""Autres communautés chrétiennes"" comprend l'église catholique-chrétienne, les églises chrétiennes-orthodoxes ainsi que  les autres églises évangéliques, telles que les églises méthodistes, les églises néo-apostoliques, etc.",,,,,,,,,,
,,,,,,,,,,
"4) Les ""Communautés islamiques"", ""Sans confession"" et ""Sans indication"" ne sont distingués des ""Autres Eglises et communautés religieuses"" que depuis 1960. ",,,,,,,,,,
"5) Les données de 1970 à 2000 ont été harmonisées avec le relevé structurel dès 2010 ; la population considérée est la population résidante permanente, c'est-à-dire établi en Suisse depuis 12 mois au moins, âgée de 15 ans révolus ou plus et vivant en ménage privé. Les diplomates, fonctionnaires internationaux et les membres de leur famille ne sont pas pris en compte.",,,,,,,,,,
,,,,,,,,,,
"6) Dès 2010, les données proviennent d'une enquête par échantillon. L'intervalle de confiance (IC) indique la précision du résultat Il est exprimé ici en point de pourcentage.",,,,,,,,,,
,,,,,,,,,,
Sources : 1910-2000 : RFP ; 2015 : Relevé structurel,,,,,,,,,,
"Renseignements: Centre d'information, section Démographie et migration, 058 463 67 11, info.dem@bfs.admin.ch",,,,,,,,,,
© OFS - Encyclopédie statistique de la Suisse,,,,,,,,,,
,,,,,,,,,,
     ,,,,,,,,,,
   ,,,,,,,,,,
